MES; ANO; TIPO DE ERRO; IDENTIFICADOR DO CANAL; NOME DO ARQUIVO OU CANAL; FATO GERADOR DO ERRO; DESCRICAO DO ERRO
agosto; 2013; CANAL; RTB; TV RA TIM BUM; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; RTH; REDE TV HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; RTV; REDE TV; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; RUR; CANAL RURAL; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; S1H; SPORTV HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; S2H; SPORTV2 HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; SBP; SBT SÃO PAULO; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; SCI; SYFY; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; SEH; SONY HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; SEN; TV SENADO; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; SET; SONY; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; SHD; SBT - HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; SHO; SHOPTIME; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; SHP; POLISHOP TV; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; SIC; SIC INTERNACIONAL; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; SP2; SPORTV 2; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; SP3; SPORTV 3; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; SPA; SPACE; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; SPH; SPACE HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; SPO; SPORTV; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; SUP; NATIONAL GEOGRAPHIC; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; SUQ; NAT GEO HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; T2H; TELECINE ACTION HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; T3H; TELECINE TOUCH HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; T4H; TELECINE PIPOCA HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; T5H; TELECINE CULT HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; T6H; TELECINE FUN HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; TBS; TBS HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; TC1; TELECINE PREMIUN; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; TC2; TELECINE ACTION; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; TC3; TELECINE TOUCH; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; TC4; TELECINE PIPOCA; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; TC5; TELECINE CULT; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; TC6; TELECINE FUN; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; TCH; TELECINE PREMIUM HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; TCM; TCM; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; TED; TV BRASIL; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; THF; VENUS; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; TLH; TLC HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; TNH; TNT HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; TNT; TNT HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; TOC; TOONCAST; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; TRV; TLC; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; TST; TESTE NET; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; TV1; NET; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; TV2; NET; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; TV5; TV5 MONDE; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; TV8; TV+2 ABC - CANAL 14; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; TVE; TV ESPANHA; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; USA; UNIVERSAL CHANNEL; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; USH; UNIVERSAL CHANNEL HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; VDA; REDE VIDA; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; VH1; VH1; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; VHD; VH1 HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; VIV; VIVA; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; VVH; VIVA HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; WBH; WARNER HD; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; WBT; WARNER CHANNEL; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
agosto; 2013; CANAL; WOO; WOOHOO; NAO SE APLICA; arquivo nao encontrado para este canal neste mes
